测试次数,响应,输入 token 数,输出 token 数,总 token 数,耗时（秒）,首Token延迟(ms),非首Token平均延迟(ms),Tokens/s,开始时间,结束时间,等待时长（秒）
1,,43,361,404,28.53,0,0,14.16,2025-03-20 16:49:43.778,2025-03-20 16:50:12.305,0
2,,31,366,397,29.19,0,0,13.6,2025-03-20 16:49:43.488,2025-03-20 16:50:12.680,0
3,,13,439,452,34.38,0,0,13.15,2025-03-20 16:49:43.710,2025-03-20 16:50:18.091,0
4,,16,444,460,34.89,0,0,13.18,2025-03-20 16:49:43.551,2025-03-20 16:50:18.443,0
5,,42,496,538,38.2,0,0,14.08,2025-03-20 16:49:43.701,2025-03-20 16:50:21.906,0
6,,17,500,517,38.52,0,0,13.42,2025-03-20 16:49:43.640,2025-03-20 16:50:22.158,0
7,,14,515,529,39.56,0,0,13.37,2025-03-20 16:49:43.575,2025-03-20 16:50:23.133,0
8,,21,539,560,41.18,0,0,13.6,2025-03-20 16:49:43.509,2025-03-20 16:50:24.689,0
9,,52,541,593,41.11,0,0,14.42,2025-03-20 16:49:43.704,2025-03-20 16:50:24.815,0
10,,30,558,588,42.3,0,0,13.9,2025-03-20 16:49:43.545,2025-03-20 16:50:25.849,0
11,,59,563,622,42.53,0,0,14.63,2025-03-20 16:49:43.624,2025-03-20 16:50:26.152,0
12,,14,567,581,42.81,0,0,13.57,2025-03-20 16:49:43.582,2025-03-20 16:50:26.394,0
13,,19,600,619,45.08,0,0,13.73,2025-03-20 16:49:43.586,2025-03-20 16:50:28.668,0
14,,37,615,652,45.87,0,0,14.21,2025-03-20 16:49:43.682,2025-03-20 16:50:29.554,0
15,,39,635,674,47.08,0,0,14.31,2025-03-20 16:49:43.648,2025-03-20 16:50:30.733,0
16,,44,646,690,47.77,0,0,14.44,2025-03-20 16:49:43.570,2025-03-20 16:50:31.341,0
17,,21,652,673,48.06,0,0,14,2025-03-20 16:49:43.608,2025-03-20 16:50:31.669,0
18,,23,653,676,48.19,0,0,14.03,2025-03-20 16:49:43.556,2025-03-20 16:50:31.746,0
19,,134,661,795,48.94,0,0,16.25,2025-03-20 16:49:43.646,2025-03-20 16:50:32.584,0
20,,233,673,906,49.65,0,0,18.25,2025-03-20 16:49:43.593,2025-03-20 16:50:33.241,0
21,,59,678,737,49.98,0,0,14.74,2025-03-20 16:49:43.530,2025-03-20 16:50:33.514,0
22,,48,690,738,50.64,0,0,14.57,2025-03-20 16:49:43.526,2025-03-20 16:50:34.169,0
23,,39,702,741,51.11,0,0,14.5,2025-03-20 16:49:43.716,2025-03-20 16:50:34.824,0
24,,15,722,737,52.38,0,0,14.07,2025-03-20 16:49:43.524,2025-03-20 16:50:35.904,0
25,,27,723,750,52.48,0,0,14.29,2025-03-20 16:49:43.473,2025-03-20 16:50:35.958,0
26,,78,746,824,53.76,0,0,15.33,2025-03-20 16:49:43.697,2025-03-20 16:50:37.452,0
27,,40,749,789,53.94,0,0,14.63,2025-03-20 16:49:43.669,2025-03-20 16:50:37.613,0
28,,24,752,776,54.27,0,0,14.3,2025-03-20 16:49:43.499,2025-03-20 16:50:37.773,0
29,,58,762,820,54.97,0,0,14.92,2025-03-20 16:49:43.588,2025-03-20 16:50:38.561,0
30,,45,770,815,55.48,0,0,14.69,2025-03-20 16:49:43.512,2025-03-20 16:50:38.989,0
31,,55,780,835,56.17,0,0,14.86,2025-03-20 16:49:43.605,2025-03-20 16:50:39.778,0
32,,77,787,864,56.47,0,0,15.3,2025-03-20 16:49:43.664,2025-03-20 16:50:40.134,0
33,,70,787,857,56.43,0,0,15.19,2025-03-20 16:49:43.707,2025-03-20 16:50:40.135,0
34,,46,791,837,57.14,0,0,14.65,2025-03-20 16:49:43.626,2025-03-20 16:50:40.767,0
35,,29,803,832,58.05,0,0,14.33,2025-03-20 16:49:43.542,2025-03-20 16:50:41.596,0
36,,25,818,843,58.77,0,0,14.34,2025-03-20 16:49:43.594,2025-03-20 16:50:42.361,0
37,,46,818,864,58.76,0,0,14.7,2025-03-20 16:49:43.602,2025-03-20 16:50:42.362,0
38,,84,821,905,59.31,0,0,15.26,2025-03-20 16:49:43.618,2025-03-20 16:50:42.928,0
39,,131,821,952,59.35,0,0,16.04,2025-03-20 16:49:43.577,2025-03-20 16:50:42.930,0
40,,73,824,897,59.95,0,0,14.96,2025-03-20 16:49:43.549,2025-03-20 16:50:43.501,0
41,,44,829,873,60.42,0,0,14.45,2025-03-20 16:49:43.528,2025-03-20 16:50:43.949,0
42,,131,829,960,60.41,0,0,15.89,2025-03-20 16:49:43.538,2025-03-20 16:50:43.950,0
43,,290,831,1121,61.06,0,0,18.36,2025-03-20 16:49:43.540,2025-03-20 16:50:44.600,0
44,,26,833,859,61.44,0,0,13.98,2025-03-20 16:49:43.622,2025-03-20 16:50:45.058,0
45,,40,845,885,62.3,0,0,14.2,2025-03-20 16:49:43.558,2025-03-20 16:50:45.862,0
46,,270,855,1125,63.05,0,0,17.84,2025-03-20 16:49:43.517,2025-03-20 16:50:46.565,0
47,,165,857,1022,63.38,0,0,16.12,2025-03-20 16:49:43.481,2025-03-20 16:50:46.864,0
48,,13,858,871,63.37,0,0,13.75,2025-03-20 16:49:43.633,2025-03-20 16:50:47.000,0
49,,14,718,732,64.21,0,0,11.4,2025-03-20 16:49:43.722,2025-03-20 16:50:47.928,0
50,,101,876,977,64.85,0,0,15.07,2025-03-20 16:49:43.533,2025-03-20 16:50:48.384,0
51,,27,883,910,65.2,0,0,13.96,2025-03-20 16:49:43.712,2025-03-20 16:50:48.909,0
52,,52,897,949,66.14,0,0,14.35,2025-03-20 16:49:43.479,2025-03-20 16:50:49.620,0
53,,74,906,980,66.45,0,0,14.75,2025-03-20 16:49:43.629,2025-03-20 16:50:50.076,0
54,,16,908,924,66.83,0,0,13.83,2025-03-20 16:49:43.512,2025-03-20 16:50:50.346,0
55,,18,913,931,67.26,0,0,13.84,2025-03-20 16:49:43.506,2025-03-20 16:50:50.764,0
56,,14,501,515,67.59,0,0,7.62,2025-03-20 16:49:43.753,2025-03-20 16:50:51.346,0
57,,44,925,969,68.03,0,0,14.24,2025-03-20 16:49:43.673,2025-03-20 16:50:51.701,0
58,,43,929,972,68.47,0,0,14.2,2025-03-20 16:49:43.596,2025-03-20 16:50:52.067,0
