测试次数,响应,输入 token 数,输出 token 数,总 token 数,耗时（秒）,首Token延迟(ms),非首Token平均延迟(ms),Tokens/s,开始时间,结束时间,等待时长（秒）
1,,36,836,872,30.58,0,0,28.51,2025-03-20 15:00:24.895,2025-03-20 15:00:55.475,0
2,,66,942,1008,34.55,0,0,29.17,2025-03-20 15:00:24.897,2025-03-20 15:00:59.451,0
3,,25,992,1017,36.4,0,0,27.94,2025-03-20 15:00:24.889,2025-03-20 15:01:01.287,0
4,,161,1351,1512,50.17,0,0,30.14,2025-03-20 15:00:24.890,2025-03-20 15:01:15.059,0
5,,22,784,806,66.83,0,0,12.06,2025-03-20 15:00:24.899,2025-03-20 15:01:31.732,0
6,,18,925,943,70.45,0,0,13.39,2025-03-20 15:00:24.902,2025-03-20 15:01:35.354,0
7,,60,1512,1572,89.42,0,0,17.58,2025-03-20 15:00:24.904,2025-03-20 15:01:54.329,0
8,,37,1024,1061,90.65,0,0,11.7,2025-03-20 15:00:24.907,2025-03-20 15:01:55.554,0
9,,39,1030,1069,108.13,0,0,9.89,2025-03-20 15:00:24.909,2025-03-20 15:02:13.038,0
10,,35,960,995,109.45,0,0,9.09,2025-03-20 15:00:24.914,2025-03-20 15:02:14.363,0
11,,101,687,788,117.03,0,0,6.73,2025-03-20 15:00:24.916,2025-03-20 15:02:21.942,0
12,,27,809,836,139.9,0,0,5.98,2025-03-20 15:00:24.923,2025-03-20 15:02:44.824,0
13,,27,1283,1310,140.71,0,0,9.31,2025-03-20 15:00:24.911,2025-03-20 15:02:45.621,0
14,,671,927,1598,143.84,0,0,11.11,2025-03-20 15:00:24.918,2025-03-20 15:02:48.761,0
15,,186,726,912,144.82,0,0,6.3,2025-03-20 15:00:24.928,2025-03-20 15:02:49.743,0
16,,15,624,639,165.28,0,0,3.87,2025-03-20 15:00:24.924,2025-03-20 15:03:10.205,0
17,,30,645,675,169.26,0,0,3.99,2025-03-20 15:00:24.921,2025-03-20 15:03:14.179,0
18,,8,681,689,192.67,0,0,3.58,2025-03-20 15:00:24.931,2025-03-20 15:03:37.602,0
19,,85,1329,1414,192.85,0,0,7.33,2025-03-20 15:00:24.926,2025-03-20 15:03:37.777,0
20,,85,630,715,218.62,0,0,3.27,2025-03-20 15:00:24.936,2025-03-20 15:04:03.557,0
21,,108,1271,1379,221.08,0,0,6.24,2025-03-20 15:00:24.933,2025-03-20 15:04:06.013,0
22,,77,2064,2141,228.35,0,0,9.38,2025-03-20 15:00:24.929,2025-03-20 15:04:13.281,0
23,,9,1122,1131,239.81,0,0,4.72,2025-03-20 15:00:24.932,2025-03-20 15:04:24.737,0
24,,12,938,950,258.62,0,0,3.67,2025-03-20 15:00:24.940,2025-03-20 15:04:43.560,0
25,,20,912,932,260.05,0,0,3.58,2025-03-20 15:00:24.942,2025-03-20 15:04:44.995,0
26,,50,971,1021,268.33,0,0,3.8,2025-03-20 15:00:24.943,2025-03-20 15:04:53.276,0
27,,30,988,1018,278.64,0,0,3.65,2025-03-20 15:00:24.944,2025-03-20 15:05:03.587,0
28,,60,642,702,282.13,0,0,2.49,2025-03-20 15:00:24.946,2025-03-20 15:05:07.080,0
29,,21,1044,1065,297.65,0,0,3.58,2025-03-20 15:00:24.947,2025-03-20 15:05:22.600,0
30,,16,739,755,305.13,0,0,2.47,2025-03-20 15:00:24.938,2025-03-20 15:05:30.064,0
31,,21,1047,1068,305.97,0,0,3.49,2025-03-20 15:00:24.949,2025-03-20 15:05:30.924,0
32,,29,851,880,312.74,0,0,2.81,2025-03-20 15:00:24.949,2025-03-20 15:05:37.687,0
33,,8,727,735,331.65,0,0,2.22,2025-03-20 15:00:24.948,2025-03-20 15:05:56.597,0
34,,75,800,875,342.02,0,0,2.56,2025-03-20 15:00:24.954,2025-03-20 15:06:06.971,0
35,,25,1399,1424,349.08,0,0,4.08,2025-03-20 15:00:24.951,2025-03-20 15:06:14.030,0
36,,45,580,625,353.74,0,0,1.77,2025-03-20 15:00:24.957,2025-03-20 15:06:18.695,0
37,,25,117,142,353.77,0,0,0.4,2025-03-20 15:00:24.959,2025-03-20 15:06:18.730,0
38,,54,679,733,369.36,0,0,1.98,2025-03-20 15:00:24.956,2025-03-20 15:06:34.316,0
39,,12,906,918,391.07,0,0,2.35,2025-03-20 15:00:24.963,2025-03-20 15:06:56.034,0
40,,136,968,1104,393.67,0,0,2.8,2025-03-20 15:00:24.959,2025-03-20 15:06:58.630,0
41,,10,943,953,408.61,0,0,2.33,2025-03-20 15:00:24.966,2025-03-20 15:07:13.577,0
42,,57,789,846,424.63,0,0,1.99,2025-03-20 15:00:24.961,2025-03-20 15:07:29.589,0
43,,100,3174,3274,431.55,0,0,7.59,2025-03-20 15:00:24.950,2025-03-20 15:07:36.501,0
44,,113,902,1015,444.16,0,0,2.29,2025-03-20 15:00:24.967,2025-03-20 15:07:49.126,0
45,,148,1306,1454,445.94,0,0,3.26,2025-03-20 15:00:24.964,2025-03-20 15:07:50.907,0
46,,50,900,950,457.75,0,0,2.08,2025-03-20 15:00:24.968,2025-03-20 15:08:02.715,0
47,,20,1093,1113,471.6,0,0,2.36,2025-03-20 15:00:24.971,2025-03-20 15:08:16.574,0
48,,29,1041,1070,481.3,0,0,2.22,2025-03-20 15:00:24.970,2025-03-20 15:08:26.272,0
49,,15,998,1013,481.46,0,0,2.1,2025-03-20 15:00:24.972,2025-03-20 15:08:26.431,0
50,,38,977,1015,490.09,0,0,2.07,2025-03-20 15:00:24.974,2025-03-20 15:08:35.067,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,6.9454,,,,
