测试次数,响应,输入 token 数,输出 token 数,总 token 数,耗时（秒）,首Token延迟(ms),非首Token平均延迟(ms),Tokens/s,开始时间,结束时间,等待时长（秒）
1,,62,328,390,7.27,0,0,53.61,2025-03-20 14:26:55.839,2025-03-20 14:27:03.114,0
2,,80,372,452,8.28,0,0,54.58,2025-03-20 14:26:55.838,2025-03-20 14:27:04.121,0
3,,314,272,586,14.7,0,0,39.87,2025-03-20 14:26:55.846,2025-03-20 14:27:10.542,0
4,,49,364,413,15.29,0,0,27,2025-03-20 14:26:55.840,2025-03-20 14:27:11.134,0
5,,44,357,401,16.38,0,0,24.49,2025-03-20 14:26:55.843,2025-03-20 14:27:12.218,0
6,,42,145,187,19.57,0,0,9.56,2025-03-20 14:26:55.851,2025-03-20 14:27:15.418,0
7,,118,503,621,26.39,0,0,23.53,2025-03-20 14:26:55.854,2025-03-20 14:27:22.243,0
8,,69,337,406,26.96,0,0,15.06,2025-03-20 14:26:55.902,2025-03-20 14:27:22.862,0
9,,64,348,412,34,0,0,12.12,2025-03-20 14:26:55.905,2025-03-20 14:27:29.908,0
10,,190,334,524,34.44,0,0,15.21,2025-03-20 14:26:55.856,2025-03-20 14:27:30.301,0
11,,72,244,316,39.75,0,0,7.95,2025-03-20 14:26:55.944,2025-03-20 14:27:35.691,0
12,,90,284,374,40.26,0,0,9.29,2025-03-20 14:26:55.918,2025-03-20 14:27:36.182,0
13,,38,262,300,45.61,0,0,6.58,2025-03-20 14:26:55.861,2025-03-20 14:27:41.474,0
14,,40,273,313,46.27,0,0,6.77,2025-03-20 14:26:55.928,2025-03-20 14:27:42.194,0
15,,43,214,257,50.62,0,0,5.08,2025-03-20 14:26:55.865,2025-03-20 14:27:46.484,0
16,,153,300,453,52.36,0,0,8.65,2025-03-20 14:26:55.870,2025-03-20 14:27:48.231,0
17,,79,359,438,54.26,0,0,8.07,2025-03-20 14:26:55.849,2025-03-20 14:27:50.110,0
18,,98,324,422,59.54,0,0,7.09,2025-03-20 14:26:55.873,2025-03-20 14:27:55.412,0
19,,54,328,382,61.47,0,0,6.21,2025-03-20 14:26:55.858,2025-03-20 14:27:57.332,0
20,,41,316,357,68.43,0,0,5.22,2025-03-20 14:26:55.862,2025-03-20 14:28:04.289,0
21,,55,420,475,68.81,0,0,6.9,2025-03-20 14:26:55.876,2025-03-20 14:28:04.687,0
22,,36,340,376,75.92,0,0,4.95,2025-03-20 14:26:55.867,2025-03-20 14:28:11.788,0
23,,47,330,377,76.09,0,0,4.95,2025-03-20 14:26:55.883,2025-03-20 14:28:11.974,0
24,,64,432,496,85.42,0,0,5.81,2025-03-20 14:26:55.891,2025-03-20 14:28:21.315,0
25,,48,203,251,90.1,0,0,2.79,2025-03-20 14:26:55.943,2025-03-20 14:28:26.046,0
26,,66,260,326,91.26,0,0,3.57,2025-03-20 14:26:55.872,2025-03-20 14:28:27.128,0
27,,94,883,977,95.64,0,0,10.22,2025-03-20 14:26:55.889,2025-03-20 14:28:31.527,0
28,,207,282,489,97.53,0,0,5.01,2025-03-20 14:26:55.878,2025-03-20 14:28:33.413,0
29,,45,203,248,102.25,0,0,2.43,2025-03-20 14:26:55.885,2025-03-20 14:28:38.136,0
30,,46,322,368,102.74,0,0,3.58,2025-03-20 14:26:55.894,2025-03-20 14:28:38.632,0
31,,54,347,401,105.25,0,0,3.81,2025-03-20 14:26:55.880,2025-03-20 14:28:41.131,0
32,,40,287,327,109.28,0,0,2.99,2025-03-20 14:26:55.898,2025-03-20 14:28:45.182,0
33,,106,352,458,110.62,0,0,4.14,2025-03-20 14:26:55.907,2025-03-20 14:28:46.529,0
34,,37,306,343,111.98,0,0,3.06,2025-03-20 14:26:55.896,2025-03-20 14:28:47.875,0
35,,34,68,102,112.35,0,0,0.91,2025-03-20 14:26:55.923,2025-03-20 14:28:48.270,0
36,,40,327,367,118.23,0,0,3.1,2025-03-20 14:26:55.916,2025-03-20 14:28:54.146,0
37,,52,342,394,118.69,0,0,3.32,2025-03-20 14:26:55.912,2025-03-20 14:28:54.598,0
38,,54,347,401,118.68,0,0,3.38,2025-03-20 14:26:55.920,2025-03-20 14:28:54.600,0
39,,92,355,447,118.75,0,0,3.76,2025-03-20 14:26:55.930,2025-03-20 14:28:54.684,0
40,,37,332,369,119.29,0,0,3.09,2025-03-20 14:26:55.901,2025-03-20 14:28:55.189,0
41,,46,180,226,123.39,0,0,1.83,2025-03-20 14:26:55.914,2025-03-20 14:28:59.300,0
42,,186,275,461,124.88,0,0,3.69,2025-03-20 14:26:55.934,2025-03-20 14:29:00.819,0
43,,182,417,599,128.6,0,0,4.66,2025-03-20 14:26:55.909,2025-03-20 14:29:04.509,0
44,,38,369,407,133.03,0,0,3.06,2025-03-20 14:26:55.939,2025-03-20 14:29:08.968,0
45,,61,367,428,136.68,0,0,3.13,2025-03-20 14:26:55.925,2025-03-20 14:29:12.601,0
46,,126,388,514,141.63,0,0,3.63,2025-03-20 14:26:55.947,2025-03-20 14:29:17.576,0
47,,81,238,319,141.92,0,0,2.25,2025-03-20 14:26:55.932,2025-03-20 14:29:17.856,0
48,,39,306,345,148.66,0,0,2.32,2025-03-20 14:26:55.936,2025-03-20 14:29:24.594,0
49,,41,137,178,151.67,0,0,1.17,2025-03-20 14:26:55.941,2025-03-20 14:29:27.610,0
50,,67,376,443,159.95,0,0,2.77,2025-03-20 14:26:55.949,2025-03-20 14:29:35.901,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,9.1244,,,,
