测试次数,响应,输入 token 数,输出 token 数,总 token 数,耗时（秒）,首Token延迟(ms),非首Token平均延迟(ms),Tokens/s,开始时间,结束时间,等待时长（秒）
1,,72,435,507,14.92,0,0,33.97,2025-03-20 16:43:18.762,2025-03-20 16:43:33.684,0
2,,17,451,468,15.48,0,0,30.24,2025-03-20 16:43:18.743,2025-03-20 16:43:34.222,-0.01
3,,29,485,514,16.52,0,0,31.1,2025-03-20 16:43:18.729,2025-03-20 16:43:35.254,0
4,,28,566,594,19.01,0,0,31.25,2025-03-20 16:43:18.724,2025-03-20 16:43:37.733,0
5,,19,679,698,22.58,0,0,30.91,2025-03-20 16:43:18.674,2025-03-20 16:43:41.255,0
6,,12,698,710,23.19,0,0,30.62,2025-03-20 16:43:18.662,2025-03-20 16:43:41.854,0
7,,33,739,772,24.45,0,0,31.57,2025-03-20 16:43:18.698,2025-03-20 16:43:43.149,0
8,,15,780,795,25.69,0,0,30.94,2025-03-20 16:43:18.758,2025-03-20 16:43:44.451,0
9,,35,820,855,26.95,0,0,31.72,2025-03-20 16:43:18.771,2025-03-20 16:43:45.723,0
10,,24,860,884,28.34,0,0,31.2,2025-03-20 16:43:18.664,2025-03-20 16:43:47.000,0
11,,47,863,910,28.36,0,0,32.08,2025-03-20 16:43:18.731,2025-03-20 16:43:47.094,0
12,,30,880,910,28.9,0,0,31.49,2025-03-20 16:43:18.722,2025-03-20 16:43:47.625,0
13,,9,880,889,28.91,0,0,30.75,2025-03-20 16:43:18.715,2025-03-20 16:43:47.626,0
14,,16,892,908,29.23,0,0,31.06,2025-03-20 16:43:18.760,2025-03-20 16:43:47.994,0
15,,10,896,906,29.44,0,0,30.78,2025-03-20 16:43:18.681,2025-03-20 16:43:48.117,0
16,,21,899,920,29.56,0,0,31.13,2025-03-20 16:43:18.651,2025-03-20 16:43:48.209,0
17,,284,902,1186,29.58,0,0,40.09,2025-03-20 16:43:18.717,2025-03-20 16:43:48.301,0
18,,158,905,1063,29.69,0,0,35.81,2025-03-20 16:43:18.705,2025-03-20 16:43:48.391,0
19,,106,916,1022,29.97,0,0,34.1,2025-03-20 16:43:18.720,2025-03-20 16:43:48.694,0
20,,101,941,1042,30.63,0,0,34.02,2025-03-20 16:43:18.741,2025-03-20 16:43:49.374,0
21,,19,946,965,30.83,0,0,31.3,2025-03-20 16:43:18.679,2025-03-20 16:43:49.509,0
22,,142,963,1105,31.3,0,0,35.31,2025-03-20 16:43:18.672,2025-03-20 16:43:49.967,0
23,,89,989,1078,31.91,0,0,33.78,2025-03-20 16:43:18.755,2025-03-20 16:43:50.664,0
24,,84,994,1078,32.1,0,0,33.58,2025-03-20 16:43:18.695,2025-03-20 16:43:50.797,0
25,,31,998,1029,32.2,0,0,31.96,2025-03-20 16:43:18.703,2025-03-20 16:43:50.903,0
26,,25,1010,1035,32.47,0,0,31.88,2025-03-20 16:43:18.751,2025-03-20 16:43:51.220,0
27,,27,1025,1052,32.94,0,0,31.94,2025-03-20 16:43:18.667,2025-03-20 16:43:51.604,0
28,,10,1049,1059,33.48,0,0,31.63,2025-03-20 16:43:18.739,2025-03-20 16:43:52.214,0
29,,13,1050,1063,33.55,0,0,31.69,2025-03-20 16:43:18.693,2025-03-20 16:43:52.240,0
30,,15,1057,1072,33.76,0,0,31.76,2025-03-20 16:43:18.660,2025-03-20 16:43:52.415,0
31,,16,1073,1089,34.1,0,0,31.93,2025-03-20 16:43:18.710,2025-03-20 16:43:52.813,0
32,,94,1099,1193,34.77,0,0,34.31,2025-03-20 16:43:18.688,2025-03-20 16:43:53.456,0
33,,26,1106,1132,34.95,0,0,32.39,2025-03-20 16:43:18.676,2025-03-20 16:43:53.628,0
34,,16,1141,1157,35.8,0,0,32.32,2025-03-20 16:43:18.686,2025-03-20 16:43:54.483,0
35,,140,1154,1294,36.02,0,0,35.92,2025-03-20 16:43:18.734,2025-03-20 16:43:54.756,0
36,,80,1170,1250,36.39,0,0,34.35,2025-03-20 16:43:18.701,2025-03-20 16:43:55.086,0
37,,38,1205,1243,37.07,0,0,33.54,2025-03-20 16:43:18.736,2025-03-20 16:43:55.802,0
38,,205,1215,1420,37.24,0,0,38.13,2025-03-20 16:43:18.764,2025-03-20 16:43:56.005,0
39,,22,1224,1246,37.5,0,0,33.23,2025-03-20 16:43:18.691,2025-03-20 16:43:56.187,0
40,,19,1229,1248,37.52,0,0,33.26,2025-03-20 16:43:18.768,2025-03-20 16:43:56.287,0
41,,64,1254,1318,38.1,0,0,34.59,2025-03-20 16:43:18.684,2025-03-20 16:43:56.784,0
42,,76,1266,1342,38.31,0,0,35.03,2025-03-20 16:43:18.707,2025-03-20 16:43:57.020,0
43,,24,1309,1333,39.03,0,0,34.15,2025-03-20 16:43:18.749,2025-03-20 16:43:57.779,0
44,,71,1333,1404,39.55,0,0,35.5,2025-03-20 16:43:18.653,2025-03-20 16:43:58.199,0
45,,12,1335,1347,39.58,0,0,34.04,2025-03-20 16:43:18.657,2025-03-20 16:43:58.233,0
46,,84,1501,1585,42.38,0,0,37.4,2025-03-20 16:43:18.670,2025-03-20 16:44:01.049,0
47,,79,1566,1645,43.36,0,0,37.94,2025-03-20 16:43:18.727,2025-03-20 16:44:02.087,0
48,,24,1707,1731,45.54,0,0,38.01,2025-03-20 16:43:18.773,2025-03-20 16:44:04.311,0
49,,27,2162,2189,52.51,0,0,41.69,2025-03-20 16:43:18.766,2025-03-20 16:44:11.278,0
50,,42,2938,2980,64.22,0,0,46.4,2025-03-20 16:43:18.712,2025-03-20 16:44:22.934,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,Average: 33 tokens/s,,,,
