测试次数,响应,输入 token 数,输出 token 数,总 token 数,耗时（秒）,首Token延迟(ms),非首Token平均延迟(ms),Tokens/s,开始时间,结束时间,等待时长（秒）
1,,84,202,286,4.52,0.00,0.00,63.26,2025-03-20 14:47:34.032,2025-03-20 14:47:38.553,-0.00
2,,128,306,434,6.83,0.00,0.00,63.56,2025-03-20 14:47:34.033,2025-03-20 14:47:40.862,-0.00
3,,159,308,467,11.36,0.00,0.00,41.12,2025-03-20 14:47:34.037,2025-03-20 14:47:45.393,-0.00
4,,34,240,274,12.11,0.00,0.00,22.62,2025-03-20 14:47:34.044,2025-03-20 14:47:46.155,-0.00
5,,34,217,251,16.90,0.00,0.00,14.85,2025-03-20 14:47:34.040,2025-03-20 14:47:50.937,-0.00
6,,75,391,466,19.98,0.00,0.00,23.33,2025-03-20 14:47:34.040,2025-03-20 14:47:54.016,-0.00
7,,90,365,455,24.98,0.00,0.00,18.22,2025-03-20 14:47:34.047,2025-03-20 14:47:59.025,-0.00
8,,39,308,347,26.75,0.00,0.00,12.97,2025-03-20 14:47:34.045,2025-03-20 14:48:00.796,-0.00
9,,114,308,422,31.78,0.00,0.00,13.28,2025-03-20 14:47:34.069,2025-03-20 14:48:05.852,-0.00
10,,38,314,352,33.66,0.00,0.00,10.46,2025-03-20 14:47:34.049,2025-03-20 14:48:07.706,-0.00
11,,68,363,431,39.81,0.00,0.00,10.83,2025-03-20 14:47:34.051,2025-03-20 14:48:13.864,-0.00
12,,181,301,482,40.34,0.00,0.00,11.95,2025-03-20 14:47:34.054,2025-03-20 14:48:14.390,-0.00
13,,57,154,211,43.70,0.00,0.00,4.83,2025-03-20 14:47:34.079,2025-03-20 14:48:17.780,-0.00
14,,42,237,279,45.03,0.00,0.00,6.20,2025-03-20 14:47:34.055,2025-03-20 14:48:19.088,-0.00
15,,53,354,407,51.50,0.00,0.00,7.90,2025-03-20 14:47:34.081,2025-03-20 14:48:25.577,-0.00
16,,106,490,596,55.88,0.00,0.00,10.67,2025-03-20 14:47:34.058,2025-03-20 14:48:29.942,-0.00
17,,314,297,611,58.18,0.00,0.00,10.50,2025-03-20 14:47:34.056,2025-03-20 14:48:32.240,-0.00
18,,41,356,397,63.73,0.00,0.00,6.23,2025-03-20 14:47:34.061,2025-03-20 14:48:37.794,-0.00
19,,38,262,300,63.94,0.00,0.00,4.69,2025-03-20 14:47:34.060,2025-03-20 14:48:38.004,-0.00
20,,102,213,315,68.97,0.00,0.00,4.57,2025-03-20 14:47:34.064,2025-03-20 14:48:43.030,-0.00
21,,37,254,291,69.33,0.00,0.00,4.20,2025-03-20 14:47:34.065,2025-03-20 14:48:43.394,-0.00
22,,161,388,549,72.64,0.00,0.00,7.56,2025-03-20 14:47:34.070,2025-03-20 14:48:46.713,-0.00
23,,228,400,628,78.24,0.00,0.00,8.03,2025-03-20 14:47:34.072,2025-03-20 14:48:52.309,-0.00
24,,63,360,423,80.57,0.00,0.00,5.25,2025-03-20 14:47:34.068,2025-03-20 14:48:54.640,-0.00
25,,60,217,277,85.34,0.00,0.00,3.25,2025-03-20 14:47:34.078,2025-03-20 14:48:59.417,-0.00
26,,47,385,432,86.73,0.00,0.00,4.98,2025-03-20 14:47:34.076,2025-03-20 14:49:00.802,-0.00
27,,49,394,443,94.00,0.00,0.00,4.71,2025-03-20 14:47:34.087,2025-03-20 14:49:08.090,-0.00
28,,118,452,570,96.73,0.00,0.00,5.89,2025-03-20 14:47:34.080,2025-03-20 14:49:10.813,-0.00
29,,103,326,429,104.23,0.00,0.00,4.12,2025-03-20 14:47:34.082,2025-03-20 14:49:18.309,-0.00
30,,167,360,527,104.87,0.00,0.00,5.03,2025-03-20 14:47:34.084,2025-03-20 14:49:18.951,-0.00
