测试次数,响应,输入 token 数,输出 token 数,总 token 数,耗时（秒）,首Token延迟(ms),非首Token平均延迟(ms),Tokens/s,开始时间,结束时间,等待时长（秒）
1,,23,319,342,32.54,0,0,10.51,2025-03-20 16:52:20.290,2025-03-20 16:52:52.832,0
2,,54,384,438,37.85,0,0,11.57,2025-03-20 16:52:20.263,2025-03-20 16:52:58.111,0
3,,40,397,437,39.13,0,0,11.17,2025-03-20 16:52:20.273,2025-03-20 16:52:59.408,0
4,,38,398,436,39.3,0,0,11.09,2025-03-20 16:52:20.179,2025-03-20 16:52:59.483,0
5,,16,409,425,40.14,0,0,10.59,2025-03-20 16:52:20.172,2025-03-20 16:53:00.313,0
6,,30,450,480,43.07,0,0,11.14,2025-03-20 16:52:20.166,2025-03-20 16:53:03.236,0
7,,15,482,497,45.07,0,0,11.03,2025-03-20 16:52:20.296,2025-03-20 16:53:05.364,0
8,,17,527,544,47.98,0,0,11.34,2025-03-20 16:52:20.284,2025-03-20 16:53:08.261,0
9,,49,529,578,48.26,0,0,11.98,2025-03-20 16:52:20.126,2025-03-20 16:53:08.390,0
10,,21,543,564,49.14,0,0,11.48,2025-03-20 16:52:20.142,2025-03-20 16:53:09.277,0
11,,112,554,666,49.92,0,0,13.34,2025-03-20 16:52:20.024,2025-03-20 16:53:09.943,0
12,,46,574,620,50.97,0,0,12.16,2025-03-20 16:52:20.181,2025-03-20 16:53:11.153,0
13,,13,616,629,53.62,0,0,11.73,2025-03-20 16:52:20.035,2025-03-20 16:53:13.651,0
14,,38,640,678,54.94,0,0,12.34,2025-03-20 16:52:20.119,2025-03-20 16:53:15.063,0
15,,23,653,676,55.59,0,0,12.16,2025-03-20 16:52:20.190,2025-03-20 16:53:15.775,0
16,,67,679,746,57.03,0,0,13.08,2025-03-20 16:52:20.162,2025-03-20 16:53:17.190,0
17,,59,699,758,58.15,0,0,13.04,2025-03-20 16:52:20.131,2025-03-20 16:53:18.276,0
18,,14,706,720,58.61,0,0,12.28,2025-03-20 16:52:20.039,2025-03-20 16:53:18.653,0
19,,147,735,882,60.16,0,0,14.66,2025-03-20 16:52:20.049,2025-03-20 16:53:20.210,0
20,,104,740,844,60.25,0,0,14.01,2025-03-20 16:52:20.224,2025-03-20 16:53:20.478,0
21,,19,740,759,60.38,0,0,12.57,2025-03-20 16:52:20.098,2025-03-20 16:53:20.479,0
22,,34,755,789,61.64,0,0,12.8,2025-03-20 16:52:20.157,2025-03-20 16:53:21.794,0
23,,68,764,832,62.09,0,0,13.4,2025-03-20 16:52:20.188,2025-03-20 16:53:22.273,0
24,,74,776,850,62.79,0,0,13.54,2025-03-20 16:52:20.121,2025-03-20 16:53:22.911,0
25,,21,784,805,63.2,0,0,12.74,2025-03-20 16:52:20.114,2025-03-20 16:53:23.319,0
26,,52,789,841,63.34,0,0,13.28,2025-03-20 16:52:20.234,2025-03-20 16:53:23.572,0
27,,34,790,824,63.55,0,0,12.97,2025-03-20 16:52:20.096,2025-03-20 16:53:23.643,0
28,,21,697,718,63.9,0,0,11.24,2025-03-20 16:52:20.246,2025-03-20 16:53:24.145,0
29,,28,793,821,64.31,0,0,12.77,2025-03-20 16:52:20.154,2025-03-20 16:53:24.466,0
30,,71,793,864,64.27,0,0,13.44,2025-03-20 16:52:20.198,2025-03-20 16:53:24.467,0
31,,22,799,821,65.08,0,0,12.61,2025-03-20 16:52:20.159,2025-03-20 16:53:25.241,0
32,,15,805,820,65.35,0,0,12.55,2025-03-20 16:52:20.196,2025-03-20 16:53:25.544,0
33,,14,819,833,66.26,0,0,12.57,2025-03-20 16:52:20.207,2025-03-20 16:53:26.472,0
34,,396,823,1219,66.68,0,0,18.28,2025-03-20 16:52:20.218,2025-03-20 16:53:26.898,0
35,,28,823,851,66.66,0,0,12.77,2025-03-20 16:52:20.236,2025-03-20 16:53:26.899,0
36,,184,827,1011,67.42,0,0,14.99,2025-03-20 16:52:20.079,2025-03-20 16:53:27.503,0
37,,24,776,800,67.92,0,0,11.78,2025-03-20 16:52:20.244,2025-03-20 16:53:28.168,0
38,,16,850,866,68.88,0,0,12.57,2025-03-20 16:52:20.209,2025-03-20 16:53:29.089,0
39,,169,856,1025,69.28,0,0,14.79,2025-03-20 16:52:20.112,2025-03-20 16:53:29.393,0
40,,135,874,1009,70.37,0,0,14.34,2025-03-20 16:52:20.148,2025-03-20 16:53:30.518,0
41,,64,876,940,70.64,0,0,13.31,2025-03-20 16:52:20.194,2025-03-20 16:53:30.837,0
42,,33,879,912,70.97,0,0,12.85,2025-03-20 16:52:20.231,2025-03-20 16:53:31.206,0
43,,26,889,915,71.84,0,0,12.74,2025-03-20 16:52:20.138,2025-03-20 16:53:31.980,0
44,,22,776,798,71.73,0,0,11.12,2025-03-20 16:52:20.248,2025-03-20 16:53:31.981,0
45,,290,893,1183,72.49,0,0,16.32,2025-03-20 16:52:20.151,2025-03-20 16:53:32.640,0
46,,158,896,1054,72.92,0,0,14.45,2025-03-20 16:52:20.084,2025-03-20 16:53:33.008,0
47,,63,899,962,73.4,0,0,13.11,2025-03-20 16:52:20.200,2025-03-20 16:53:33.600,0
48,,78,914,992,74.36,0,0,13.34,2025-03-20 16:52:20.177,2025-03-20 16:53:34.539,0
49,,592,916,1508,74.69,0,0,20.19,2025-03-20 16:52:20.140,2025-03-20 16:53:34.828,0
50,,33,947,980,76.68,0,0,12.78,2025-03-20 16:52:20.064,2025-03-20 16:53:36.742,0
51,,24,947,971,76.66,0,0,12.67,2025-03-20 16:52:20.081,2025-03-20 16:53:36.743,0
52,,75,961,1036,77.76,0,0,13.32,2025-03-20 16:52:20.062,2025-03-20 16:53:37.823,0
53,,74,962,1036,77.71,0,0,13.33,2025-03-20 16:52:20.163,2025-03-20 16:53:37.873,0
54,,10,969,979,78.49,0,0,12.47,2025-03-20 16:52:20.175,2025-03-20 16:53:38.665,0
55,,61,969,1030,78.6,0,0,13.1,2025-03-20 16:52:20.066,2025-03-20 16:53:38.666,0
56,,256,974,1230,79.4,0,0,15.49,2025-03-20 16:52:20.012,2025-03-20 16:53:39.411,0
57,,32,990,1022,80.33,0,0,12.72,2025-03-20 16:52:20.047,2025-03-20 16:53:40.378,0
58,,65,1003,1068,81.16,0,0,13.16,2025-03-20 16:52:20.044,2025-03-20 16:53:41.206,0
59,,16,1005,1021,81.27,0,0,12.56,2025-03-20 16:52:20.216,2025-03-20 16:53:41.486,0
60,,53,1006,1059,81.35,0,0,13.02,2025-03-20 16:52:20.211,2025-03-20 16:53:41.556,0
61,,22,1010,1032,82.37,0,0,12.53,2025-03-20 16:52:20.037,2025-03-20 16:53:42.405,0
62,,17,1014,1031,82.66,0,0,12.47,2025-03-20 16:52:20.102,2025-03-20 16:53:42.763,0
63,,75,742,817,82.97,0,0,9.85,2025-03-20 16:52:20.267,2025-03-20 16:53:43.235,0
64,,123,1019,1142,83.29,0,0,13.71,2025-03-20 16:52:20.204,2025-03-20 16:53:43.496,0
65,,15,478,493,83.93,0,0,5.87,2025-03-20 16:52:20.313,2025-03-20 16:53:44.246,0
66,,24,1028,1052,84.09,0,0,12.51,2025-03-20 16:52:20.153,2025-03-20 16:53:44.248,0
67,,42,1037,1079,84.94,0,0,12.7,2025-03-20 16:52:20.070,2025-03-20 16:53:45.008,0
68,,39,530,569,85.06,0,0,6.69,2025-03-20 16:52:20.302,2025-03-20 16:53:45.365,0
69,,31,1046,1077,85.56,0,0,12.59,2025-03-20 16:52:20.057,2025-03-20 16:53:45.616,0
70,,102,922,1024,86,0,0,11.91,2025-03-20 16:52:20.252,2025-03-20 16:53:46.253,0
71,,19,1058,1077,86.63,0,0,12.43,2025-03-20 16:52:20.051,2025-03-20 16:53:46.677,0
72,,38,1067,1105,87.27,0,0,12.66,2025-03-20 16:52:20.027,2025-03-20 16:53:47.293,0
73,,62,1070,1132,87.5,0,0,12.94,2025-03-20 16:52:20.105,2025-03-20 16:53:47.603,-0.01
74,,27,1075,1102,88.03,0,0,12.52,2025-03-20 16:52:20.100,2025-03-20 16:53:48.132,0
75,,16,888,904,88.6,0,0,10.2,2025-03-20 16:52:20.259,2025-03-20 16:53:48.863,0
76,,14,1085,1099,88.71,0,0,12.39,2025-03-20 16:52:20.202,2025-03-20 16:53:48.913,0
77,,58,1088,1146,89.4,0,0,12.82,2025-03-20 16:52:20.074,2025-03-20 16:53:49.472,0
78,,101,1092,1193,89.81,0,0,13.28,2025-03-20 16:52:20.135,2025-03-20 16:53:49.945,0
79,,71,1092,1163,89.81,0,0,12.95,2025-03-20 16:52:20.133,2025-03-20 16:53:49.946,0
80,,41,564,605,89.83,0,0,6.73,2025-03-20 16:52:20.308,2025-03-20 16:53:50.139,0
81,,179,767,946,90.67,0,0,10.43,2025-03-20 16:52:20.279,2025-03-20 16:53:50.951,0
