测试次数,响应,输入 token 数,输出 token 数,总 token 数,耗时（秒）,首Token延迟(ms),非首Token平均延迟(ms),Tokens/s,开始时间,结束时间,等待时长（秒）
1,,12,25,37,2.2,0,0,16.82,2025-03-20 10:00:10.691,2025-03-20 10:00:12.891,0
2,,10,25,35,2.2,0,0,15.88,2025-03-20 10:00:10.689,2025-03-20 10:00:12.892,0
3,,15,25,40,2.21,0,0,18.12,2025-03-20 10:00:10.730,2025-03-20 10:00:12.938,0
4,,19,80,99,4.84,0,0,20.45,2025-03-20 10:00:10.672,2025-03-20 10:00:15.513,0
5,,15,103,118,5.95,0,0,19.83,2025-03-20 10:00:10.702,2025-03-20 10:00:16.653,0
6,,13,103,116,5.97,0,0,19.44,2025-03-20 10:00:10.685,2025-03-20 10:00:16.654,0
7,,32,125,157,7.2,0,0,21.8,2025-03-20 10:00:10.711,2025-03-20 10:00:17.911,0
8,,30,176,206,9.68,0,0,21.28,2025-03-20 10:00:10.701,2025-03-20 10:00:20.379,0
9,,23,341,364,17.85,0,0,20.4,2025-03-20 10:00:10.727,2025-03-20 10:00:28.573,0
10,,22,422,444,21.92,0,0,20.25,2025-03-20 10:00:10.683,2025-03-20 10:00:32.607,0
11,,153,475,628,24.56,0,0,25.57,2025-03-20 10:00:10.669,2025-03-20 10:00:35.230,0
12,,23,475,498,24.58,0,0,20.26,2025-03-20 10:00:10.703,2025-03-20 10:00:35.280,0
13,,16,505,521,26.06,0,0,19.99,2025-03-20 10:00:10.659,2025-03-20 10:00:36.721,0
14,,42,530,572,27.3,0,0,20.95,2025-03-20 10:00:10.667,2025-03-20 10:00:37.965,0
15,,19,562,581,28.93,0,0,20.09,2025-03-20 10:00:10.665,2025-03-20 10:00:39.591,0
16,,23,608,631,31.25,0,0,20.19,2025-03-20 10:00:10.681,2025-03-20 10:00:41.933,0
17,,20,677,697,34.8,0,0,20.03,2025-03-20 10:00:10.712,2025-03-20 10:00:45.516,0
18,,8,692,700,35.57,0,0,19.68,2025-03-20 10:00:10.654,2025-03-20 10:00:46.223,0
19,,14,706,720,36.25,0,0,19.86,2025-03-20 10:00:10.676,2025-03-20 10:00:46.929,0
20,,38,717,755,36.81,0,0,20.51,2025-03-20 10:00:10.672,2025-03-20 10:00:47.482,0
21,,26,725,751,37.24,0,0,20.16,2025-03-20 10:00:10.692,2025-03-20 10:00:47.935,0
22,,15,749,764,38.43,0,0,19.88,2025-03-20 10:00:10.663,2025-03-20 10:00:49.092,0
23,,28,749,777,38.46,0,0,20.2,2025-03-20 10:00:10.683,2025-03-20 10:00:49.143,0
24,,22,751,773,38.54,0,0,20.06,2025-03-20 10:00:10.706,2025-03-20 10:00:49.242,0
25,,30,771,801,39.54,0,0,20.26,2025-03-20 10:00:10.699,2025-03-20 10:00:50.235,0
26,,24,778,802,39.87,0,0,20.12,2025-03-20 10:00:10.668,2025-03-20 10:00:50.533,0
27,,16,780,796,39.96,0,0,19.92,2025-03-20 10:00:10.671,2025-03-20 10:00:50.632,0
28,,13,795,808,40.71,0,0,19.85,2025-03-20 10:00:10.707,2025-03-20 10:00:51.422,0
29,,32,802,834,41.05,0,0,20.31,2025-03-20 10:00:10.664,2025-03-20 10:00:51.717,0
30,,65,818,883,41.84,0,0,21.1,2025-03-20 10:00:10.710,2025-03-20 10:00:52.552,0
31,,29,841,870,42.95,0,0,20.26,2025-03-20 10:00:10.682,2025-03-20 10:00:53.627,0
32,,9,842,851,43.05,0,0,19.77,2025-03-20 10:00:10.724,2025-03-20 10:00:53.774,0
33,,46,846,892,43.24,0,0,20.63,2025-03-20 10:00:10.728,2025-03-20 10:00:53.969,0
34,,57,852,909,43.5,0,0,20.89,2025-03-20 10:00:10.659,2025-03-20 10:00:54.163,0
35,,19,854,873,43.59,0,0,20.03,2025-03-20 10:00:10.718,2025-03-20 10:00:54.309,0
36,,20,861,881,43.93,0,0,20.05,2025-03-20 10:00:10.669,2025-03-20 10:00:54.599,0
