测试次数,响应,输入 token 数,输出 token 数,总 token 数,耗时（秒）,首Token延迟(ms),非首Token平均延迟(ms),Tokens/s,开始时间,结束时间,等待时长（秒）
1,,15,392,407,7.27,0,0,55.96,2025-03-20 16:42:24.343,2025-03-20 16:42:31.616,0
2,,88,721,809,13.38,0,0,60.46,2025-03-20 16:42:24.329,2025-03-20 16:42:37.709,0
3,,34,745,779,13.76,0,0,56.59,2025-03-20 16:42:24.352,2025-03-20 16:42:38.117,0
4,,15,785,800,14.45,0,0,55.36,2025-03-20 16:42:24.340,2025-03-20 16:42:38.790,0
5,,64,860,924,15.7,0,0,58.84,2025-03-20 16:42:24.342,2025-03-20 16:42:40.045,0
6,,29,916,945,16.62,0,0,56.85,2025-03-20 16:42:24.348,2025-03-20 16:42:40.971,0
7,,38,1113,1151,19.71,0,0,58.41,2025-03-20 16:42:24.350,2025-03-20 16:42:44.055,0
8,,27,1230,1257,21.54,0,0,58.36,2025-03-20 16:42:24.333,2025-03-20 16:42:45.870,0
9,,20,1238,1258,21.65,0,0,58.1,2025-03-20 16:42:24.337,2025-03-20 16:42:45.991,0
10,,11,2023,2034,33.34,0,0,61.02,2025-03-20 16:42:24.330,2025-03-20 16:42:57.665,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,Average: 58 tokens/s,,,,
