测试次数,响应,输入 token 数,输出 token 数,总 token 数,耗时（秒）,首Token延迟(ms),非首Token平均延迟(ms),Tokens/s,开始时间,结束时间,等待时长（秒）
1,,12,25,37,3.75,0,0,9.86,2025-03-20 10:45:57.059,2025-03-20 10:46:00.810,0
2,,10,25,35,3.81,0,0,9.18,2025-03-20 10:45:57.182,2025-03-20 10:46:00.995,0
3,,28,87,115,7.58,0,0,15.16,2025-03-20 10:45:57.055,2025-03-20 10:46:04.639,0
4,,16,88,104,7.72,0,0,13.47,2025-03-20 10:45:57.165,2025-03-20 10:46:04.884,0
5,,68,99,167,8.36,0,0,19.97,2025-03-20 10:45:57.134,2025-03-20 10:46:05.496,0
6,,112,131,243,10.28,0,0,23.64,2025-03-20 10:45:57.054,2025-03-20 10:46:07.331,0
7,,330,368,698,25.77,0,0,27.09,2025-03-20 10:45:57.129,2025-03-20 10:46:22.898,0
8,,95,396,491,27.54,0,0,17.83,2025-03-20 10:45:57.074,2025-03-20 10:46:24.613,0
9,,330,398,728,27.68,0,0,26.3,2025-03-20 10:45:57.067,2025-03-20 10:46:24.745,0
10,,138,506,644,34.51,0,0,18.66,2025-03-20 10:45:57.185,2025-03-20 10:46:31.691,0
11,,13,542,555,36.57,0,0,15.18,2025-03-20 10:45:57.063,2025-03-20 10:46:33.631,0
12,,79,554,633,37.33,0,0,16.96,2025-03-20 10:45:57.173,2025-03-20 10:46:34.504,0
13,,18,578,596,38.72,0,0,15.39,2025-03-20 10:45:57.160,2025-03-20 10:46:35.876,0
14,,20,587,607,39.18,0,0,15.49,2025-03-20 10:45:57.086,2025-03-20 10:46:36.269,0
15,,16,593,609,39.51,0,0,15.41,2025-03-20 10:45:57.147,2025-03-20 10:46:36.661,0
16,,18,612,630,40.55,0,0,15.54,2025-03-20 10:45:57.145,2025-03-20 10:46:37.691,0
17,,28,625,653,41.22,0,0,15.84,2025-03-20 10:45:57.109,2025-03-20 10:46:38.330,0
18,,25,643,668,42.21,0,0,15.82,2025-03-20 10:45:57.087,2025-03-20 10:46:39.301,0
19,,14,646,660,42.34,0,0,15.59,2025-03-20 10:45:57.064,2025-03-20 10:46:39.407,0
20,,15,652,667,42.66,0,0,15.64,2025-03-20 10:45:57.069,2025-03-20 10:46:39.726,0
21,,98,672,770,43.91,0,0,17.54,2025-03-20 10:45:57.091,2025-03-20 10:46:40.996,0
22,,28,674,702,44.03,0,0,15.94,2025-03-20 10:45:57.125,2025-03-20 10:46:41.157,0
23,,205,679,884,44.44,0,0,19.89,2025-03-20 10:45:57.088,2025-03-20 10:46:41.532,0
24,,203,681,884,44.54,0,0,19.85,2025-03-20 10:45:57.103,2025-03-20 10:46:41.639,0
25,,71,699,770,45.67,0,0,16.86,2025-03-20 10:45:57.084,2025-03-20 10:46:42.754,0
26,,44,713,757,46.37,0,0,16.33,2025-03-20 10:45:57.117,2025-03-20 10:46:43.484,0
27,,24,739,763,47.74,0,0,15.98,2025-03-20 10:45:57.099,2025-03-20 10:46:44.834,0
28,,27,742,769,47.93,0,0,16.04,2025-03-20 10:45:57.166,2025-03-20 10:46:45.098,0
29,,15,749,764,48.28,0,0,15.82,2025-03-20 10:45:57.078,2025-03-20 10:46:45.360,0
30,,22,758,780,48.93,0,0,15.94,2025-03-20 10:45:57.135,2025-03-20 10:46:46.061,0
31,,30,760,790,49.03,0,0,16.11,2025-03-20 10:45:57.131,2025-03-20 10:46:46.164,0
32,,37,763,800,49.37,0,0,16.2,2025-03-20 10:45:57.133,2025-03-20 10:46:46.503,0
33,,132,765,897,49.61,0,0,18.08,2025-03-20 10:45:57.113,2025-03-20 10:46:46.726,0
34,,69,776,845,50.33,0,0,16.79,2025-03-20 10:45:57.073,2025-03-20 10:46:47.399,0
35,,16,779,795,50.51,0,0,15.74,2025-03-20 10:45:57.094,2025-03-20 10:46:47.604,0
36,,84,781,865,50.77,0,0,17.04,2025-03-20 10:45:57.142,2025-03-20 10:46:47.915,0
37,,116,782,898,50.83,0,0,17.67,2025-03-20 10:45:57.136,2025-03-20 10:46:47.966,0
38,,52,799,851,51.92,0,0,16.39,2025-03-20 10:45:57.051,2025-03-20 10:46:48.969,0
39,,11,800,811,51.99,0,0,15.6,2025-03-20 10:45:57.078,2025-03-20 10:46:49.071,0
40,,10,801,811,52.22,0,0,15.53,2025-03-20 10:45:57.090,2025-03-20 10:46:49.308,0
41,,21,824,845,53.51,0,0,15.79,2025-03-20 10:45:57.101,2025-03-20 10:46:50.612,0
42,,38,836,874,54.12,0,0,16.15,2025-03-20 10:45:57.150,2025-03-20 10:46:51.271,0
43,,62,853,915,54.96,0,0,16.65,2025-03-20 10:45:57.072,2025-03-20 10:46:52.029,0
44,,61,869,930,55.78,0,0,16.67,2025-03-20 10:45:57.056,2025-03-20 10:46:52.837,0
45,,22,872,894,55.92,0,0,15.99,2025-03-20 10:45:57.071,2025-03-20 10:46:52.986,0
46,,193,875,1068,56.51,0,0,18.9,2025-03-20 10:45:57.069,2025-03-20 10:46:53.581,0
47,,50,876,926,56.71,0,0,16.33,2025-03-20 10:45:57.057,2025-03-20 10:46:53.765,0
48,,31,884,915,57.24,0,0,15.98,2025-03-20 10:45:57.102,2025-03-20 10:46:54.345,0
49,,95,893,988,57.8,0,0,17.09,2025-03-20 10:45:57.052,2025-03-20 10:46:54.857,0
50,,19,911,930,58.74,0,0,15.83,2025-03-20 10:45:57.075,2025-03-20 10:46:55.811,0
51,,100,915,1015,59.14,0,0,17.16,2025-03-20 10:45:57.088,2025-03-20 10:46:56.224,0
52,,12,918,930,59.41,0,0,15.65,2025-03-20 10:45:57.082,2025-03-20 10:46:56.495,0
53,,22,619,641,59.79,0,0,10.72,2025-03-20 10:45:57.177,2025-03-20 10:46:56.966,0
54,,38,937,975,60.6,0,0,16.09,2025-03-20 10:45:57.139,2025-03-20 10:46:57.737,0
55,,50,941,991,60.9,0,0,16.27,2025-03-20 10:45:57.067,2025-03-20 10:46:57.963,0
56,,18,944,962,61.17,0,0,15.73,2025-03-20 10:45:57.062,2025-03-20 10:46:58.233,0
57,,83,924,1007,61.44,0,0,16.39,2025-03-20 10:45:57.167,2025-03-20 10:46:58.603,0
58,,15,957,972,62.12,0,0,15.65,2025-03-20 10:45:57.162,2025-03-20 10:46:59.284,0
59,,24,963,987,62.49,0,0,15.79,2025-03-20 10:45:57.105,2025-03-20 10:46:59.599,0
60,,105,965,1070,62.69,0,0,17.07,2025-03-20 10:45:57.080,2025-03-20 10:46:59.771,0
61,,34,967,1001,63.05,0,0,15.88,2025-03-20 10:45:57.106,2025-03-20 10:47:00.153,0
62,,49,988,1037,64.32,0,0,16.12,2025-03-20 10:45:57.062,2025-03-20 10:47:01.386,0
63,,26,998,1024,64.94,0,0,15.77,2025-03-20 10:45:57.063,2025-03-20 10:47:02.004,0
64,,25,999,1024,64.98,0,0,15.76,2025-03-20 10:45:57.070,2025-03-20 10:47:02.054,0
65,,77,1005,1082,65.55,0,0,16.51,2025-03-20 10:45:57.081,2025-03-20 10:47:02.626,0
66,,85,1008,1093,65.79,0,0,16.61,2025-03-20 10:45:57.061,2025-03-20 10:47:02.854,0
67,,62,1011,1073,66.17,0,0,16.22,2025-03-20 10:45:57.116,2025-03-20 10:47:03.288,0
68,,71,1011,1082,66.43,0,0,16.29,2025-03-20 10:45:57.137,2025-03-20 10:47:03.570,0
69,,35,727,762,66.7,0,0,11.42,2025-03-20 10:45:57.175,2025-03-20 10:47:03.871,0
70,,13,1021,1034,67.23,0,0,15.38,2025-03-20 10:45:57.096,2025-03-20 10:47:04.324,0
71,,30,1027,1057,67.7,0,0,15.61,2025-03-20 10:45:57.158,2025-03-20 10:47:04.860,0
72,,26,1040,1066,68.43,0,0,15.58,2025-03-20 10:45:57.132,2025-03-20 10:47:05.561,0
73,,17,1050,1067,69.05,0,0,15.45,2025-03-20 10:45:57.159,2025-03-20 10:47:06.211,0
74,,94,1063,1157,69.67,0,0,16.61,2025-03-20 10:45:57.091,2025-03-20 10:47:06.760,0
75,,116,1081,1197,70.57,0,0,16.96,2025-03-20 10:45:57.130,2025-03-20 10:47:07.703,0
76,,100,1086,1186,70.81,0,0,16.75,2025-03-20 10:45:57.141,2025-03-20 10:47:07.951,0
77,,20,626,646,71.45,0,0,9.04,2025-03-20 10:45:57.192,2025-03-20 10:47:08.642,0
78,,657,911,1568,71.62,0,0,21.89,2025-03-20 10:45:57.174,2025-03-20 10:47:08.799,0
79,,80,1100,1180,72.24,0,0,16.34,2025-03-20 10:45:57.120,2025-03-20 10:47:09.356,0
80,,17,1106,1123,72.58,0,0,15.47,2025-03-20 10:45:57.077,2025-03-20 10:47:09.660,0
81,,24,1107,1131,72.7,0,0,15.56,2025-03-20 10:45:57.163,2025-03-20 10:47:09.861,0
82,,73,1116,1189,73.14,0,0,16.26,2025-03-20 10:45:57.170,2025-03-20 10:47:10.308,0
83,,74,1123,1197,73.44,0,0,16.3,2025-03-20 10:45:57.111,2025-03-20 10:47:10.555,0
