测试次数,响应,输入 token 数,输出 token 数,总 token 数,耗时（秒）,首Token延迟(ms),非首Token平均延迟(ms),Tokens/s,开始时间,结束时间,等待时长（秒）
1,,60,262,322,5.8,0,0,55.56,2025-03-20 13:55:42.940,2025-03-20 13:55:48.736,0
2,,54,327,381,7.25,0,0,52.56,2025-03-20 13:55:42.937,2025-03-20 13:55:50.186,0
3,,298,407,705,14.68,0,0,48.03,2025-03-20 13:55:43.022,2025-03-20 13:55:57.701,0
4,,89,372,461,15.44,0,0,29.86,2025-03-20 13:55:42.966,2025-03-20 13:55:58.406,0
5,,50,189,239,19.55,0,0,12.22,2025-03-20 13:55:43.026,2025-03-20 13:56:02.578,0
6,,140,381,521,23.19,0,0,22.47,2025-03-20 13:55:42.938,2025-03-20 13:56:06.124,0
7,,41,182,223,23.57,0,0,9.46,2025-03-20 13:55:43.028,2025-03-20 13:56:06.594,0
8,,121,212,333,28.37,0,0,11.74,2025-03-20 13:55:42.941,2025-03-20 13:56:11.312,0
9,,76,380,456,31.55,0,0,14.45,2025-03-20 13:55:42.944,2025-03-20 13:56:14.495,0
10,,55,273,328,34.4,0,0,9.54,2025-03-20 13:55:42.942,2025-03-20 13:56:17.341,0
11,,49,164,213,38.02,0,0,5.6,2025-03-20 13:55:42.944,2025-03-20 13:56:20.961,0
12,,109,386,495,40.07,0,0,12.35,2025-03-20 13:55:42.946,2025-03-20 13:56:23.018,0
13,,42,274,316,44.07,0,0,7.17,2025-03-20 13:55:42.946,2025-03-20 13:56:27.012,0
14,,53,355,408,47.79,0,0,8.54,2025-03-20 13:55:43.047,2025-03-20 13:56:30.834,0
15,,37,247,284,49.51,0,0,5.74,2025-03-20 13:55:42.949,2025-03-20 13:56:32.463,0
16,,57,144,201,52.7,0,0,3.81,2025-03-20 13:55:42.949,2025-03-20 13:56:35.646,0
17,,156,206,362,57.21,0,0,6.33,2025-03-20 13:55:43.020,2025-03-20 13:56:40.232,0
18,,46,450,496,57.79,0,0,8.58,2025-03-20 13:55:42.948,2025-03-20 13:56:40.739,0
19,,83,325,408,64.47,0,0,6.33,2025-03-20 13:55:42.952,2025-03-20 13:56:47.422,0
20,,56,309,365,64.58,0,0,5.65,2025-03-20 13:55:42.964,2025-03-20 13:56:47.542,0
21,,61,189,250,68.72,0,0,3.64,2025-03-20 13:55:42.989,2025-03-20 13:56:51.706,0
22,,98,356,454,72.36,0,0,6.27,2025-03-20 13:55:42.953,2025-03-20 13:56:55.315,0
23,,71,256,327,74.34,0,0,4.4,2025-03-20 13:55:43.009,2025-03-20 13:56:57.346,0
24,,90,302,392,79.06,0,0,4.96,2025-03-20 13:55:42.955,2025-03-20 13:57:02.012,0
25,,100,350,450,82.03,0,0,5.49,2025-03-20 13:55:43.046,2025-03-20 13:57:05.081,0
26,,40,164,204,82.62,0,0,2.47,2025-03-20 13:55:43.013,2025-03-20 13:57:05.630,0
27,,69,233,302,87.27,0,0,3.46,2025-03-20 13:55:42.949,2025-03-20 13:57:10.214,0
28,,180,237,417,87.89,0,0,4.74,2025-03-20 13:55:43.034,2025-03-20 13:57:10.922,0
29,,40,364,404,95.28,0,0,4.24,2025-03-20 13:55:42.950,2025-03-20 13:57:18.229,0
30,,45,374,419,96.24,0,0,4.35,2025-03-20 13:55:42.955,2025-03-20 13:57:19.191,0
31,,44,384,428,103.73,0,0,4.13,2025-03-20 13:55:42.954,2025-03-20 13:57:26.683,0
32,,64,408,472,105.22,0,0,4.49,2025-03-20 13:55:42.989,2025-03-20 13:57:28.205,0
33,,43,207,250,109.82,0,0,2.28,2025-03-20 13:55:42.960,2025-03-20 13:57:32.775,0
34,,43,354,397,111.51,0,0,3.56,2025-03-20 13:55:42.968,2025-03-20 13:57:34.475,0
35,,100,289,389,116.22,0,0,3.35,2025-03-20 13:55:42.962,2025-03-20 13:57:39.185,0
36,,46,292,338,117.92,0,0,2.87,2025-03-20 13:55:42.981,2025-03-20 13:57:40.900,0
37,,40,393,433,124.9,0,0,3.47,2025-03-20 13:55:42.962,2025-03-20 13:57:47.862,0
38,,70,323,393,125.06,0,0,3.14,2025-03-20 13:55:42.956,2025-03-20 13:57:48.014,0
39,,38,94,132,127.12,0,0,1.04,2025-03-20 13:55:42.956,2025-03-20 13:57:50.080,0
40,,98,310,408,131.77,0,0,3.1,2025-03-20 13:55:42.967,2025-03-20 13:57:54.737,0
41,,98,306,404,133.89,0,0,3.02,2025-03-20 13:55:42.958,2025-03-20 13:57:56.846,0
42,,88,241,329,137.1,0,0,2.4,2025-03-20 13:55:42.971,2025-03-20 13:58:00.069,0
43,,180,308,488,140.72,0,0,3.47,2025-03-20 13:55:42.960,2025-03-20 13:58:03.682,0
44,,38,331,369,144.4,0,0,2.56,2025-03-20 13:55:42.972,2025-03-20 13:58:07.375,0
45,,80,288,368,147,0,0,2.5,2025-03-20 13:55:43.035,2025-03-20 13:58:10.031,0
46,,56,265,321,150.25,0,0,2.14,2025-03-20 13:55:42.976,2025-03-20 13:58:13.227,0
47,,124,287,411,153.43,0,0,2.68,2025-03-20 13:55:42.958,2025-03-20 13:58:16.385,0
48,,41,313,354,157.16,0,0,2.25,2025-03-20 13:55:42.978,2025-03-20 13:58:20.139,0
49,,38,99,137,159.34,0,0,0.86,2025-03-20 13:55:42.980,2025-03-20 13:58:22.321,0
50,,43,440,483,163.1,0,0,2.96,2025-03-20 13:55:42.970,2025-03-20 13:58:26.073,0
51,,109,423,532,168.72,0,0,3.15,2025-03-20 13:55:42.984,2025-03-20 13:58:31.704,0
52,,41,296,337,169.56,0,0,1.99,2025-03-20 13:55:43.032,2025-03-20 13:58:32.588,0
53,,43,167,210,173.29,0,0,1.21,2025-03-20 13:55:42.971,2025-03-20 13:58:36.262,0
54,,39,255,294,174.35,0,0,1.69,2025-03-20 13:55:42.986,2025-03-20 13:58:37.331,0
55,,42,296,338,180.88,0,0,1.87,2025-03-20 13:55:42.987,2025-03-20 13:58:43.867,0
